Id,Name,Link,Date
1,FNM @ MTG Arena Campania,https://www.mtgtop8.com/event?e=27938&f=ST,30/10/20
2,Torneios @ Ludo Quest,https://www.mtgtop8.com/event?e=27939&f=ST,30/10/20
3,All Hallow's Eve FNM @ Gamer's Gauntlet,https://www.mtgtop8.com/event?e=27940&f=ST,30/10/20
4,Japan Championship 2020 Autumn Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27925&f=ST,29/10/20
5,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27918&f=ST,28/10/20
6,Japan Championship 2020 Autumn Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27921&f=ST,28/10/20
7,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27886&f=ST,27/10/20
8,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27898&f=ST,27/10/20
9,Japan Championship 2020 Autumn - Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27901&f=ST,27/10/20
10,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27902&f=ST,27/10/20
11,mock Tournament Try 2 @ HavenGamesLLC,https://www.mtgtop8.com/event?e=27919&f=ST,27/10/20
12,Tuesday Night Standard @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27920&f=ST,27/10/20
13,Cobram Cup - 5th Tappa @ Mind's Desire,https://www.mtgtop8.com/event?e=27941&f=ST,27/10/20
14,Japan Championship 2020 Autumn - Last Chance Trial @ BIG Magic,https://www.mtgtop8.com/event?e=27876&f=ST,26/10/20
15,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27885&f=ST,26/10/20
16,Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27888&f=ST,26/10/20
17,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27905&f=ST,26/10/20
18,"The 9th Hamazushi Tournament @ Hamakikaku (Toyama, Japan)",https://www.mtgtop8.com/event?e=27860&f=ST,25/10/20
19,6th Anniversary PWCS @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27863&f=ST,25/10/20
20,Zendikar Rising Championship @ Total Jank Games,https://www.mtgtop8.com/event?e=27877&f=ST,25/10/20
21,MAJH Series @ Malchijah Harding,https://www.mtgtop8.com/event?e=27878&f=ST,25/10/20
22,MPL - October Zendikar Rising Weekend @ Magic Arena,https://www.mtgtop8.com/event?e=27894&f=ST,25/10/20
23,5th Kamui Decision Battle @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27900&f=ST,25/10/20
24,"""Emperor of Standard"" Tournament 11th Season @ Hareruya (Japan)",https://www.mtgtop8.com/event?e=27842&f=ST,24/10/20
25,FNM @ Deckmaster Games,https://www.mtgtop8.com/event?e=27847&f=ST,24/10/20
26,GoblinVitational #1 @ GoblinCredible Gaming,https://www.mtgtop8.com/event?e=27855&f=ST,24/10/20
27,SvM Open 4 @ pLace,https://www.mtgtop8.com/event?e=27857&f=ST,24/10/20
28,"Thailand Magic Community 2020 @ The Tricker (Nonthaburi, Thailand)",https://www.mtgtop8.com/event?e=27859&f=ST,24/10/20
29,"Planeswalker Championship @ TC (Tokyo, Japan)",https://www.mtgtop8.com/event?e=27889&f=ST,24/10/20
30,Rivals League - October Zendikar Rising Weekend @ Magic Arena,https://www.mtgtop8.com/event?e=27893&f=ST,24/10/20
31,Week of Wings Entry Event Friday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27834&f=ST,23/10/20
32,Week of Wings Entry Event Friday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27840&f=ST,23/10/20
33,FNM @ Gamer's Gauntlet,https://www.mtgtop8.com/event?e=27843&f=ST,23/10/20
34,Torneios @ Loja Ludo Quest,https://www.mtgtop8.com/event?e=27845&f=ST,23/10/20
35,FNM at Home @ Owl Central Games,https://www.mtgtop8.com/event?e=27846&f=ST,23/10/20
36,FNM @ Game On,https://www.mtgtop8.com/event?e=27848&f=ST,23/10/20
37,OMEN FNAC Challenge MTGA #3 - Qualificador #2 @ Going Hyped,https://www.mtgtop8.com/event?e=27853&f=ST,23/10/20
38,Week of Wings Entry Event Thursday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27811&f=ST,22/10/20
39,Week of Wings Entry Event Thursday Flight 2 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27822&f=ST,22/10/20
40,Week of Wings Entry Event Thursday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27823&f=ST,22/10/20
41,Artisan ! @ Lotus eSports,https://www.mtgtop8.com/event?e=27828&f=ST,22/10/20
42,MTGO Standard League,https://www.mtgtop8.com/event?e=27839&f=ST,22/10/20
43,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27814&f=ST,21/10/20
44,Week of Wings Entry Event Tuesday Flight 2 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27786&f=ST,20/10/20
45,Week of Wings Entry Event Tuesday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27787&f=ST,20/10/20
46,Week of Wings Entry Event Tuesday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27788&f=ST,20/10/20
47,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27792&f=ST,20/10/20
48,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27805&f=ST,20/10/20
49,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27808&f=ST,20/10/20
50,Week of Wings Entry Event Monday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27778&f=ST,19/10/20
51,Week of Wings Entry Event Monday Flight 2 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27785&f=ST,19/10/20
52,Week of Wings Entry Event Monday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27791&f=ST,19/10/20
53,Weekly Event @ The Mythic Society,https://www.mtgtop8.com/event?e=27801&f=ST,19/10/20
54,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27802&f=ST,19/10/20
55,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27803&f=ST,19/10/20
56,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27807&f=ST,19/10/20
57,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27827&f=ST,19/10/20
58,The Bash Bros Battles #2 - Sponsored by BCW Supplies @ The Bash Bros Podcast,https://www.mtgtop8.com/event?e=27756&f=ST,18/10/20
59,"Thailand Magic Community 2020 @ The Tricker (Nonthaburi, Thailand)",https://www.mtgtop8.com/event?e=27761&f=ST,18/10/20
60,Tokai King Cup 11th @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27774&f=ST,18/10/20
61,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27779&f=ST,18/10/20
62,God of Standard Trial @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27798&f=ST,18/10/20
63,Cobram Cup - 3^ Tappa @ Mind's Desire,https://www.mtgtop8.com/event?e=27804&f=ST,18/10/20
64,5th Kamui Decision Battle Trial @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27824&f=ST,18/10/20
65,CFB Pro Showdown October @ Channelfireball,https://www.mtgtop8.com/event?e=27748&f=ST,17/10/20
66,KOS Online Tournament 12th @ Big Magic,https://www.mtgtop8.com/event?e=27750&f=ST,17/10/20
67,"Planeswalker Championship @ Hareruya (Akihabara, Japan)",https://www.mtgtop8.com/event?e=27752&f=ST,17/10/20
68,Artisan Artists 7 @ Hello Good Game,https://www.mtgtop8.com/event?e=27754&f=ST,17/10/20
69,Planeswalker Diaries $500 Patreon Tournament @Jason Fleurant,https://www.mtgtop8.com/event?e=27755&f=ST,17/10/20
70,FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27736&f=ST,16/10/20
71,FNM @ Enschede,https://www.mtgtop8.com/event?e=27737&f=ST,16/10/20
72,FNM @ Deckmaster Games,https://www.mtgtop8.com/event?e=27735&f=ST,16/10/20
73,Friday Night Magic @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27806&f=ST,16/10/20
74,Artisan ! @ Lotus eSports,https://www.mtgtop8.com/event?e=27730&f=ST,15/10/20
75,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27716&f=ST,14/10/20
76,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27694&f=ST,13/10/20
77,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27712&f=ST,13/10/20
78,Tuesday Night Event @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27721&f=ST,13/10/20
79,Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27698&f=ST,12/10/20
80,Monday Night Magic 2 @ Plague League,https://www.mtgtop8.com/event?e=27699&f=ST,12/10/20
81,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27704&f=ST,12/10/20
82,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27708&f=ST,12/10/20
83,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27709&f=ST,12/10/20
84,"Ban-cho Decisive battle @ Hareruya (Shizuoka, Japan)",https://www.mtgtop8.com/event?e=27677&f=ST,11/10/20
85,ONDraw #2 @ Ace Tournaments,https://www.mtgtop8.com/event?e=27685&f=ST,11/10/20
86,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27686&f=ST,11/10/20
87,"Event @ Damoclès (Poitiers, France)",https://www.mtgtop8.com/event?e=27693&f=ST,11/10/20
88,FudohMyouou Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27697&f=ST,11/10/20
89,"Planeswalker Championship @ Hareruya (Osaka, Japan)",https://www.mtgtop8.com/event?e=27705&f=ST,11/10/20
90,ONDraw #1 @ Ace Tournaments,https://www.mtgtop8.com/event?e=27668&f=ST,10/10/20
91,Win a Zendikar Rising box @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27676&f=ST,10/10/20
92,Win an Expedition Overgrown Tomb @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27678&f=ST,10/10/20
93,CFB Clash Qualifier Magic Arena,https://www.mtgtop8.com/event?e=27688&f=ST,10/10/20
94,Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27690&f=ST,10/10/20
95,2020 Season Grand Finals,https://www.mtgtop8.com/event?e=27653&f=ST,9/10/20
96,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27658&f=ST,9/10/20
97,Copa de Veneno #5 @ Poison Nation,https://www.mtgtop8.com/event?e=27659&f=ST,9/10/20
98,FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27660&f=ST,9/10/20
99,Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27634&f=ST,7/10/20
100,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27616&f=ST,6/10/20
101,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27621&f=ST,6/10/20
102,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27633&f=ST,6/10/20
103,Tuesday Night Standard @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27639&f=ST,6/10/20
104,Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27622&f=ST,5/10/20
105,Monday Night Magic 2 @ Plague League,https://www.mtgtop8.com/event?e=27623&f=ST,5/10/20
106,MTGO Standard League,https://www.mtgtop8.com/event?e=27637&f=ST,5/10/20
107,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27680&f=ST,5/10/20
108,The DWC Organizational VI @ The Disorganized Wizards Club,https://www.mtgtop8.com/event?e=27586&f=ST,4/10/20
109,Gentry ! @The Jankyard,https://www.mtgtop8.com/event?e=27592&f=ST,4/10/20
110,MTGO Standard Showcase Challenge,https://www.mtgtop8.com/event?e=27611&f=ST,4/10/20
111,Tin Street Tournament Series #2 @ Tin Street Tavern,https://www.mtgtop8.com/event?e=27581&f=ST,3/10/20
112,Red Bull Untapped Online Qualifier @ France,https://www.mtgtop8.com/event?e=27583&f=ST,3/10/20
113,CFB Clash Qualifier 1 @ Channelfireball,https://www.mtgtop8.com/event?e=27605&f=ST,3/10/20
114,Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27607&f=ST,3/10/20
115,FNM @ Deckmaster Games,https://www.mtgtop8.com/event?e=27568&f=ST,2/10/20
116,FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27569&f=ST,2/10/20
117,GameDay @ GameForce (Eindhoven),https://www.mtgtop8.com/event?e=27617&f=ST,2/10/20
118,Friday Night Magic @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27620&f=ST,2/10/20
119,MTGO Standard Preliminary,https://www.mtgtop8.com/event?e=27577&f=ST,1/10/20
120,Portland MtG Arena Tournament @ Mox Boarding House,https://www.mtgtop8.com/event?e=27547&f=ST,30/09/20
121,Tuesday Night Standard @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27544&f=ST,29/09/20
122,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27546&f=ST,29/09/20
123,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27551&f=ST,29/09/20
124,Weekly Event @ The Mythic Society,https://www.mtgtop8.com/event?e=27537&f=ST,28/09/20
125,Plague League Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27539&f=ST,28/09/20
126,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27543&f=ST,28/09/20
127,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27552&f=ST,28/09/20
128,Comic Con Africa 2020,https://www.mtgtop8.com/event?e=27489&f=ST,27/09/20
129,"Event @ Hareruya (Narita, Japan)",https://www.mtgtop8.com/event?e=27490&f=ST,27/09/20
130,Red Bull Untapped Online Qualifier @ Germany,https://www.mtgtop8.com/event?e=27515&f=ST,27/09/20
131,Last Weekly Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27520&f=ST,27/09/20
132,"Arena Community Cup 1,5 k$ @ The Mythic Society",https://www.mtgtop8.com/event?e=27521&f=ST,27/09/20
133,"""Zendikar Rising"" Season First Feast @ Hareruya (Akihabara, Japan)",https://www.mtgtop8.com/event?e=27522&f=ST,27/09/20
134,SCG Tour Online Season Two Championship @ Star City Games,https://www.mtgtop8.com/event?e=27523&f=ST,27/09/20
135,"Event @ Hareruya (Nagoya, Japan)",https://www.mtgtop8.com/event?e=27540&f=ST,27/09/20
136,SCG Tour Online Championship Qualifier @ Star City Game,https://www.mtgtop8.com/event?e=27511&f=ST,26/09/20
137,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27493&f=ST,26/09/20
138,TGS Open Series @ The Gaming Stadium,https://www.mtgtop8.com/event?e=27494&f=ST,26/09/20
139,Red Bull Untapped Qualifier @ Japan,https://www.mtgtop8.com/event?e=27495&f=ST,26/09/20
140,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27496&f=ST,26/09/20
141,FTHS League 2020 - FINALS @ Final Turn Hobby Shop,https://www.mtgtop8.com/event?e=27497&f=ST,26/09/20
142,"Red Bull Untapped 2020 Store Event @ Ollies Spielecenter (Hamburg, Germany)",https://www.mtgtop8.com/event?e=27498&f=ST,26/09/20
143,"Red Bull Untapped 2020 Store Event @ Spiele-Pyramide (Karlsruhe, Germany)",https://www.mtgtop8.com/event?e=27500&f=ST,26/09/20
144,"Red Bull Untapped 2020 Store Event @ Auenland (Dortmund, Germany)",https://www.mtgtop8.com/event?e=27501&f=ST,26/09/20
145,"Red Bull Untapped 2020 Store Event @ Funtainment (Berlin, Germany)",https://www.mtgtop8.com/event?e=27503&f=ST,26/09/20
146,"Red Bull Untapped 2020 Store Event @ Funtainment (München, Germany)",https://www.mtgtop8.com/event?e=27504&f=ST,26/09/20
147,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27470&f=ST,25/09/20
148,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27471&f=ST,25/09/20
149,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27472&f=ST,25/09/20
150,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27474&f=ST,25/09/20
151,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27476&f=ST,25/09/20
152,FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27508&f=ST,25/09/20
153,Free FNM @ Equalssport,https://www.mtgtop8.com/event?e=27509&f=ST,25/09/20
154,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27510&f=ST,25/09/20
155,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27459&f=ST,24/09/20
156,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27462&f=ST,24/09/20
157,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27464&f=ST,24/09/20
158,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27475&f=ST,24/09/20
159,20° Torneio @ HG TEAM,https://www.mtgtop8.com/event?e=27477&f=ST,24/09/20
160,Artisan ! @ Lotus eSports,https://www.mtgtop8.com/event?e=27484&f=ST,24/09/20
161,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27429&f=ST,23/09/20
162,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27453&f=ST,23/09/20
163,Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27454&f=ST,23/09/20
164,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27457&f=ST,23/09/20
165,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27458&f=ST,23/09/20
166,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27413&f=ST,22/09/20
167,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27424&f=ST,22/09/20
168,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27430&f=ST,22/09/20
169,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27431&f=ST,22/09/20
170,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27433&f=ST,22/09/20
171,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27434&f=ST,22/09/20
172,LFM Streamer Showdown,https://www.mtgtop8.com/event?e=27435&f=ST,22/09/20
173,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27445&f=ST,22/09/20
174,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27412&f=ST,21/09/20
175,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27414&f=ST,21/09/20
176,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27416&f=ST,21/09/20
177,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27418&f=ST,21/09/20
178,Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27419&f=ST,21/09/20
179,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27448&f=ST,21/09/20
180,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27481&f=ST,21/09/20
181,The Bash Bros Battles @ The Bash Bros Podcast,https://www.mtgtop8.com/event?e=27408&f=ST,20/09/20
182,PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27383&f=ST,19/09/20
183,Hooglandia Open 6 @ Hooglandia,https://www.mtgtop8.com/event?e=27390&f=ST,19/09/20
184,PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27392&f=ST,19/09/20
185,PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27393&f=ST,19/09/20
186,Saturday Showdown @ Top Deck Keep,https://www.mtgtop8.com/event?e=27396&f=ST,19/09/20
187,FTHS League 2020 - Qualifier III @ Final Turn Hobby Shop,https://www.mtgtop8.com/event?e=27398&f=ST,19/09/20
188,Sims' Free SecretLair Summer Bundle,https://www.mtgtop8.com/event?e=27411&f=ST,19/09/20
189,Free FNM @ Equalssports,https://www.mtgtop8.com/event?e=27381&f=ST,18/09/20
190,PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27382&f=ST,18/09/20
191,FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27399&f=ST,18/09/20
192,PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27365&f=ST,17/09/20
193,Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27362&f=ST,16/09/20
194,5PM PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27340&f=ST,15/09/20
195,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27346&f=ST,15/09/20
196,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27350&f=ST,15/09/20
197,Weekly Event @ The Mythic Society,https://www.mtgtop8.com/event?e=27348&f=ST,14/09/20
198,Monday Night Magic Season @ Plague League,https://www.mtgtop8.com/event?e=27349&f=ST,14/09/20
199,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27379&f=ST,14/09/20
200,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27386&f=ST,14/09/20
201,Event @ Malchijah Harding,https://www.mtgtop8.com/event?e=27317&f=ST,13/09/20
202,Weekly Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27321&f=ST,13/09/20
203,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27324&f=ST,13/09/20
204,Sunday 10AM PAX Online Event @ Pastimes,https://www.mtgtop8.com/event?e=27326&f=ST,13/09/20
205,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27329&f=ST,13/09/20
206,Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27367&f=ST,13/09/20
207,"Planeswalker Championship @ Hareruya Tournament Center (Osaka, Japan)",https://www.mtgtop8.com/event?e=27423&f=ST,13/09/20
208,Season Masters Core Set 2021 @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27343&f=ST,12/9/20
209,Dealers at Home! @ MagicDealers,https://www.mtgtop8.com/event?e=27302&f=ST,11/9/20
210,FNM @ altermundi,https://www.mtgtop8.com/event?e=27303&f=ST,11/9/20
211,Free FNM @ Equalssport,https://www.mtgtop8.com/event?e=27305&f=ST,11/9/20
212,FNM @ Lotus eSports,https://www.mtgtop8.com/event?e=27307&f=ST,11/9/20
213,Event @ Back to Games,https://www.mtgtop8.com/event?e=27295&f=ST,10/9/20
214,Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27245&f=ST,9/9/20
215,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27220&f=ST,8/9/20
216,Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27238&f=ST,8/9/20
217,Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27240&f=ST,8/9/20
218,Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27221&f=ST,7/9/20
219,Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27222&f=ST,7/9/20
220,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27258&f=ST,7/9/20
221,Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27308&f=ST,7/9/20
222,Road to Red Bull Untapped @ Arena Porto,https://www.mtgtop8.com/event?e=27223&f=ST,6/9/20
223,Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27224&f=ST,6/9/20
224,Event @ Malchijah Harding,https://www.mtgtop8.com/event?e=27225&f=ST,6/9/20
225,MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27231&f=ST,6/9/20
226,Event @ Malchijah Harding,https://www.mtgtop8.com/event?e=27239&f=ST,6/9/20
227,"Planeswalker Championship @ TC (Tokyo, Japan)",https://www.mtgtop8.com/event?e=27229&f=ST,5/9/20
228,"PlanesWalker Championship @ Hareruya (Nagoya, Japan)",https://www.mtgtop8.com/event?e=27246&f=ST,5/9/20
229,Free FNM @ Equalssport,https://www.mtgtop8.com/event?e=27190&f=ST,4/9/20
230,Dealers at Home! @ MagicDealers,https://www.mtgtop8.com/event?e=27193&f=ST,4/9/20
231,FNM @ Lotus eSports,https://www.mtgtop8.com/event?e=27194&f=ST,4/9/20
232,SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27172&f=ST,3/9/20
233,Free Open @ UGCardshop,https://www.mtgtop8.com/event?e=27187&f=ST,3/9/20